tick,E0_floor,E0_direction,E1_floor,E1_direction
0,1,IDLE,1,IDLE
1,2,UP,2,UP
2,3,UP,3,UP
3,4,UP,4,UP
4,5,UP,5,UP
5,6,UP,6,UP
6,7,UP,7,UP
7,8,UP,8,UP
8,9,UP,9,UP
9,10,UP,10,UP
10,11,UP,11,UP
11,12,UP,12,UP
12,13,UP,13,UP
13,14,UP,14,UP
14,15,UP,15,UP
15,16,UP,16,UP
16,17,UP,17,UP
17,18,UP,18,UP
18,19,UP,19,UP
19,20,UP,20,UP
20,21,UP,21,UP
21,22,UP,22,UP
22,23,UP,23,UP
23,24,UP,24,UP
24,25,UP,25,UP
25,26,UP,26,UP
26,27,UP,27,UP
27,28,UP,28,UP
28,29,UP,29,UP
29,30,UP,30,UP
30,31,UP,31,UP
31,32,UP,32,UP
32,33,UP,33,UP
33,34,UP,34,UP
34,35,UP,35,UP
35,36,UP,36,UP
36,37,UP,37,UP
37,38,UP,38,UP
38,39,UP,39,UP
39,40,UP,40,DOWN
40,41,UP,39,DOWN
41,42,UP,38,DOWN
42,43,UP,37,DOWN
43,44,UP,36,DOWN
44,45,UP,35,DOWN
45,46,UP,34,DOWN
46,47,UP,33,DOWN
47,48,UP,32,DOWN
48,49,UP,31,DOWN
49,50,DOWN,30,DOWN
50,49,DOWN,29,DOWN
51,48,DOWN,28,DOWN
52,47,DOWN,27,DOWN
53,46,DOWN,26,DOWN
54,45,DOWN,25,DOWN
55,44,DOWN,24,DOWN
56,43,DOWN,23,DOWN
57,42,DOWN,22,DOWN
58,41,DOWN,21,DOWN
59,40,DOWN,20,DOWN
60,39,DOWN,19,DOWN
61,38,DOWN,18,DOWN
62,37,DOWN,17,DOWN
63,36,DOWN,16,DOWN
64,35,DOWN,15,DOWN
65,34,DOWN,14,DOWN
66,33,DOWN,13,DOWN
67,32,DOWN,12,DOWN
68,31,DOWN,11,DOWN
69,30,DOWN,10,DOWN
70,29,DOWN,9,DOWN
71,28,DOWN,8,DOWN
72,27,DOWN,7,DOWN
73,26,DOWN,6,DOWN
74,25,DOWN,5,DOWN
75,24,DOWN,4,DOWN
76,23,DOWN,3,DOWN
77,22,DOWN,2,UP
78,21,DOWN,3,UP
79,20,DOWN,4,UP
80,19,DOWN,5,UP
81,18,DOWN,6,UP
82,17,DOWN,7,UP
83,16,DOWN,8,UP
84,15,DOWN,9,UP
85,14,DOWN,10,UP
86,13,DOWN,11,UP
87,12,DOWN,12,UP
88,11,DOWN,13,UP
89,10,DOWN,14,UP
90,9,DOWN,15,UP
91,8,DOWN,16,UP
92,7,DOWN,17,UP
93,6,DOWN,18,UP
94,5,DOWN,19,UP
95,4,DOWN,20,UP
96,3,DOWN,21,UP
97,2,UP,22,UP
98,3,UP,23,UP
99,4,UP,24,UP
100,5,UP,25,UP
