tick,E0_floor,E0_direction,E1_floor,E1_direction
0,1,IDLE,1,IDLE
1,2,UP,1,IDLE
2,3,UP,1,IDLE
3,4,UP,1,IDLE
4,5,UP,1,IDLE
5,6,UP,1,IDLE
6,7,UP,1,IDLE
7,8,UP,1,IDLE
8,9,UP,1,IDLE
9,10,UP,1,IDLE
10,11,UP,1,IDLE
11,12,UP,2,UP
12,13,UP,3,UP
13,14,UP,4,UP
14,15,UP,5,UP
15,16,UP,6,UP
16,17,UP,7,UP
17,18,UP,8,UP
18,19,UP,9,UP
19,20,UP,10,UP
20,21,UP,11,UP
21,22,UP,12,UP
22,23,UP,13,UP
23,24,UP,14,UP
24,25,UP,15,UP
25,26,UP,16,UP
26,27,UP,17,UP
27,28,UP,18,UP
28,29,UP,19,UP
29,30,UP,20,DOWN
30,31,UP,19,DOWN
31,32,UP,18,DOWN
32,33,UP,17,DOWN
33,34,UP,16,DOWN
34,35,UP,15,DOWN
35,36,UP,14,DOWN
36,37,UP,13,DOWN
37,38,UP,12,DOWN
38,39,UP,11,DOWN
39,40,UP,10,DOWN
40,41,UP,9,DOWN
41,42,UP,8,DOWN
42,43,UP,7,DOWN
43,44,UP,6,DOWN
44,45,UP,5,DOWN
45,46,UP,4,DOWN
46,47,UP,3,DOWN
47,48,UP,2,DOWN
48,49,UP,1,IDLE
49,50,UP,1,IDLE
50,51,IDLE,1,IDLE
51,51,IDLE,1,IDLE
52,51,IDLE,1,IDLE
53,51,IDLE,1,IDLE
54,51,IDLE,1,IDLE
55,51,IDLE,1,IDLE
56,51,IDLE,1,IDLE
57,51,IDLE,1,IDLE
58,51,IDLE,1,IDLE
59,51,IDLE,1,IDLE
60,51,IDLE,1,IDLE
61,51,IDLE,1,IDLE
62,51,IDLE,1,IDLE
63,51,IDLE,1,IDLE
64,51,IDLE,1,IDLE
65,51,IDLE,1,IDLE
66,51,IDLE,1,IDLE
67,51,IDLE,1,IDLE
68,51,IDLE,1,IDLE
69,51,IDLE,1,IDLE
70,51,IDLE,1,IDLE
71,51,IDLE,1,IDLE
72,51,IDLE,1,IDLE
73,51,IDLE,1,IDLE
74,51,IDLE,1,IDLE
75,51,IDLE,1,IDLE
76,51,IDLE,1,IDLE
77,51,IDLE,1,IDLE
78,51,IDLE,1,IDLE
79,51,IDLE,1,IDLE
80,51,IDLE,1,IDLE
81,51,IDLE,1,IDLE
82,51,IDLE,1,IDLE
83,51,IDLE,1,IDLE
84,51,IDLE,1,IDLE
85,51,IDLE,1,IDLE
86,51,IDLE,1,IDLE
87,51,IDLE,1,IDLE
88,51,IDLE,1,IDLE
89,51,IDLE,1,IDLE
90,51,IDLE,1,IDLE
91,51,IDLE,1,IDLE
92,51,IDLE,1,IDLE
93,51,IDLE,1,IDLE
94,51,IDLE,1,IDLE
95,51,IDLE,1,IDLE
96,51,IDLE,1,IDLE
97,51,IDLE,1,IDLE
98,51,IDLE,1,IDLE
99,51,IDLE,1,IDLE
100,51,IDLE,1,IDLE
