tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,UP,9,UP,9,UP
9,10,UP,10,UP,10,UP
10,11,UP,11,UP,11,UP
11,12,UP,12,UP,12,UP
12,13,UP,13,UP,13,UP
13,14,UP,14,UP,14,UP
14,15,UP,15,UP,15,UP
15,16,UP,16,UP,16,UP
16,17,UP,17,UP,17,UP
17,18,UP,18,UP,18,UP
18,19,UP,19,UP,19,UP
19,20,UP,20,UP,20,UP
20,21,UP,21,UP,21,UP
21,22,UP,22,UP,22,UP
22,23,UP,23,UP,23,UP
23,24,UP,24,UP,24,UP
24,25,UP,25,DOWN,25,UP
25,26,UP,24,DOWN,26,UP
26,27,UP,23,DOWN,27,UP
27,28,UP,22,DOWN,28,UP
28,29,UP,21,DOWN,29,UP
29,30,UP,20,DOWN,30,UP
30,31,UP,19,DOWN,31,UP
31,32,UP,18,DOWN,32,UP
32,33,UP,17,DOWN,33,UP
33,34,UP,16,DOWN,34,UP
34,35,UP,15,DOWN,35,UP
35,36,UP,14,DOWN,36,UP
36,37,UP,13,DOWN,37,UP
37,38,UP,12,DOWN,38,UP
38,39,UP,11,DOWN,39,UP
39,40,UP,10,DOWN,40,DOWN
40,41,UP,9,DOWN,39,DOWN
41,42,UP,8,DOWN,38,DOWN
42,43,UP,7,DOWN,37,DOWN
43,44,UP,6,DOWN,36,DOWN
44,45,UP,5,DOWN,35,DOWN
45,46,UP,4,DOWN,34,DOWN
46,47,UP,3,DOWN,33,DOWN
47,48,UP,2,DOWN,32,DOWN
48,49,UP,1,UP,31,DOWN
49,50,UP,2,UP,30,DOWN
50,51,UP,3,UP,29,DOWN
51,52,UP,4,UP,28,DOWN
52,53,UP,5,UP,27,DOWN
53,54,UP,6,UP,26,DOWN
54,55,UP,7,UP,25,DOWN
55,56,UP,8,UP,24,DOWN
56,57,UP,9,UP,23,DOWN
57,58,UP,10,UP,22,DOWN
58,59,UP,11,UP,21,DOWN
59,60,DOWN,12,UP,20,DOWN
60,59,DOWN,13,UP,19,DOWN
61,58,DOWN,14,UP,18,DOWN
62,57,DOWN,15,UP,17,DOWN
63,56,DOWN,16,UP,16,DOWN
64,55,DOWN,17,UP,15,DOWN
65,54,DOWN,18,UP,14,DOWN
66,53,DOWN,19,UP,13,DOWN
67,52,DOWN,20,IDLE,12,DOWN
68,51,DOWN,20,IDLE,11,DOWN
69,50,DOWN,20,IDLE,10,DOWN
70,49,DOWN,20,IDLE,9,DOWN
71,48,DOWN,20,IDLE,8,DOWN
72,47,DOWN,20,IDLE,7,DOWN
73,46,DOWN,20,IDLE,6,DOWN
74,45,DOWN,20,IDLE,5,DOWN
75,44,DOWN,20,IDLE,4,DOWN
76,43,DOWN,20,IDLE,3,DOWN
77,42,DOWN,20,IDLE,2,DOWN
78,41,DOWN,20,IDLE,1,IDLE
79,40,DOWN,20,IDLE,1,IDLE
80,39,DOWN,20,IDLE,1,IDLE
81,38,DOWN,20,IDLE,1,IDLE
82,37,DOWN,20,IDLE,1,IDLE
83,36,DOWN,20,IDLE,1,IDLE
84,35,DOWN,20,IDLE,1,IDLE
85,34,DOWN,20,IDLE,1,IDLE
86,33,DOWN,20,IDLE,1,IDLE
87,32,DOWN,20,IDLE,1,IDLE
88,31,DOWN,20,IDLE,1,IDLE
89,30,DOWN,20,IDLE,1,IDLE
90,29,DOWN,20,IDLE,1,IDLE
91,28,DOWN,20,IDLE,1,IDLE
92,27,DOWN,20,IDLE,1,IDLE
93,26,DOWN,20,IDLE,1,IDLE
94,25,DOWN,20,IDLE,1,IDLE
95,24,DOWN,20,IDLE,1,IDLE
96,23,DOWN,20,IDLE,1,IDLE
97,22,DOWN,20,IDLE,1,IDLE
98,21,DOWN,20,IDLE,1,IDLE
99,20,DOWN,20,IDLE,1,IDLE
100,19,DOWN,20,IDLE,1,IDLE
