tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP
2,3,UP,3,UP,3,UP
3,4,UP,4,UP,4,UP
4,5,UP,5,UP,5,UP
5,6,UP,6,UP,6,UP
6,7,UP,7,UP,7,UP
7,8,UP,8,UP,8,UP
8,9,UP,9,UP,9,UP
9,10,UP,10,UP,10,UP
10,11,UP,11,UP,11,UP
11,12,UP,12,UP,12,UP
12,13,UP,13,UP,13,UP
13,14,UP,14,UP,14,UP
14,15,UP,15,UP,15,UP
15,16,UP,16,UP,16,UP
16,17,UP,17,UP,17,UP
17,18,UP,18,UP,18,UP
18,19,UP,19,UP,19,UP
19,20,UP,20,UP,20,UP
20,21,DOWN,21,UP,21,UP
21,20,DOWN,22,UP,22,UP
22,19,DOWN,23,DOWN,23,UP
23,18,DOWN,22,DOWN,24,UP
24,17,DOWN,21,DOWN,25,DOWN
25,16,DOWN,20,DOWN,24,DOWN
26,15,DOWN,19,DOWN,23,DOWN
27,14,DOWN,18,DOWN,22,DOWN
28,13,DOWN,17,DOWN,21,DOWN
29,12,DOWN,16,DOWN,20,DOWN
30,11,DOWN,15,DOWN,19,DOWN
31,10,DOWN,14,DOWN,18,DOWN
32,9,DOWN,13,DOWN,17,DOWN
33,8,DOWN,12,DOWN,16,DOWN
34,7,DOWN,11,DOWN,15,DOWN
35,6,DOWN,10,DOWN,14,DOWN
36,5,DOWN,9,DOWN,13,DOWN
37,4,DOWN,8,DOWN,12,DOWN
38,3,DOWN,7,DOWN,11,DOWN
39,2,DOWN,6,DOWN,10,DOWN
40,1,IDLE,5,DOWN,9,DOWN
41,2,UP,4,DOWN,8,DOWN
42,3,UP,3,DOWN,7,DOWN
43,4,UP,2,DOWN,6,DOWN
44,5,UP,1,IDLE,5,DOWN
45,6,UP,1,IDLE,4,DOWN
46,7,UP,1,IDLE,3,DOWN
47,8,UP,1,IDLE,2,DOWN
48,9,UP,1,IDLE,1,IDLE
49,10,UP,1,IDLE,1,IDLE
50,11,UP,1,IDLE,1,IDLE
51,12,UP,1,IDLE,1,IDLE
52,13,UP,1,IDLE,1,IDLE
53,14,UP,1,IDLE,1,IDLE
54,15,UP,1,IDLE,1,IDLE
55,16,UP,1,IDLE,1,IDLE
56,17,UP,1,IDLE,1,IDLE
57,18,UP,1,IDLE,1,IDLE
58,19,UP,1,IDLE,1,IDLE
59,20,UP,1,IDLE,1,IDLE
60,21,UP,1,IDLE,1,IDLE
61,22,UP,1,IDLE,1,IDLE
62,23,UP,1,IDLE,1,IDLE
63,24,UP,1,IDLE,1,IDLE
64,25,UP,1,IDLE,1,IDLE
65,26,UP,1,IDLE,1,IDLE
66,27,UP,1,IDLE,1,IDLE
67,28,UP,1,IDLE,1,IDLE
68,29,UP,1,IDLE,1,IDLE
69,30,DOWN,1,IDLE,1,IDLE
70,29,DOWN,1,IDLE,1,IDLE
71,28,DOWN,1,IDLE,1,IDLE
72,27,DOWN,1,IDLE,1,IDLE
73,26,DOWN,1,IDLE,1,IDLE
74,25,DOWN,1,IDLE,1,IDLE
75,24,DOWN,1,IDLE,1,IDLE
76,23,DOWN,1,IDLE,1,IDLE
77,22,DOWN,1,IDLE,1,IDLE
78,21,DOWN,1,IDLE,1,IDLE
79,20,DOWN,1,IDLE,1,IDLE
80,19,DOWN,1,IDLE,1,IDLE
81,18,DOWN,1,IDLE,1,IDLE
82,17,DOWN,1,IDLE,1,IDLE
83,16,DOWN,1,IDLE,1,IDLE
84,15,DOWN,1,IDLE,1,IDLE
85,14,DOWN,1,IDLE,1,IDLE
86,13,DOWN,1,IDLE,1,IDLE
87,12,DOWN,1,IDLE,1,IDLE
88,11,DOWN,1,IDLE,1,IDLE
89,10,DOWN,1,IDLE,1,IDLE
90,9,DOWN,1,IDLE,1,IDLE
91,8,DOWN,1,IDLE,1,IDLE
92,7,DOWN,1,IDLE,1,IDLE
93,6,DOWN,1,IDLE,1,IDLE
94,5,DOWN,1,IDLE,1,IDLE
95,4,DOWN,1,IDLE,1,IDLE
96,3,DOWN,1,IDLE,1,IDLE
97,2,DOWN,1,IDLE,1,IDLE
98,1,IDLE,1,IDLE,1,IDLE
99,1,IDLE,1,IDLE,1,IDLE
100,1,IDLE,1,IDLE,1,IDLE
