tick,E0_floor,E0_direction
0,1,IDLE
1,2,UP
2,3,UP
3,4,UP
4,5,UP
5,6,UP
6,7,UP
7,8,UP
8,9,UP
9,10,UP
10,11,UP
11,12,UP
12,13,UP
13,14,UP
14,15,UP
15,16,UP
16,17,UP
17,18,UP
18,19,UP
19,20,UP
20,21,UP
21,22,UP
22,23,UP
23,24,UP
24,25,UP
25,26,UP
26,27,UP
27,28,UP
28,29,UP
29,30,UP
30,31,UP
31,32,UP
32,33,UP
33,34,UP
34,35,UP
35,36,UP
36,37,UP
37,38,UP
38,39,UP
39,40,UP
40,41,UP
41,42,UP
42,43,UP
43,44,UP
44,45,UP
45,46,UP
46,47,UP
47,48,UP
48,49,UP
49,50,UP
50,51,UP
51,52,UP
52,53,UP
53,54,UP
54,55,DOWN
55,54,DOWN
56,53,DOWN
57,52,DOWN
58,51,DOWN
59,50,DOWN
60,49,DOWN
61,48,DOWN
62,47,DOWN
63,46,DOWN
64,45,DOWN
65,44,DOWN
66,43,DOWN
67,42,DOWN
68,41,DOWN
69,40,DOWN
70,39,DOWN
71,38,DOWN
72,37,DOWN
73,36,DOWN
74,35,DOWN
75,34,DOWN
76,33,DOWN
77,32,DOWN
78,31,DOWN
79,30,DOWN
80,29,DOWN
81,28,DOWN
82,27,DOWN
83,26,DOWN
84,25,DOWN
85,24,DOWN
86,23,DOWN
87,22,DOWN
88,21,DOWN
89,20,DOWN
90,19,DOWN
91,18,DOWN
92,17,DOWN
93,16,DOWN
94,15,DOWN
95,14,DOWN
96,13,DOWN
97,12,DOWN
98,11,DOWN
99,10,DOWN
100,9,DOWN
