tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction
0,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,1,IDLE
2,3,UP,3,UP,1,IDLE
3,4,UP,4,UP,1,IDLE
4,5,UP,5,UP,1,IDLE
5,6,UP,6,UP,1,IDLE
6,7,UP,7,UP,1,IDLE
7,8,UP,8,UP,1,IDLE
8,9,UP,9,UP,1,IDLE
9,10,UP,10,UP,1,IDLE
10,11,UP,11,UP,1,IDLE
11,12,UP,12,UP,1,IDLE
12,13,UP,13,UP,1,IDLE
13,14,UP,14,UP,1,IDLE
14,15,UP,15,UP,1,IDLE
15,16,UP,16,UP,1,IDLE
16,17,UP,17,UP,1,IDLE
17,18,UP,18,UP,1,IDLE
18,19,UP,19,UP,1,IDLE
19,20,UP,20,UP,1,IDLE
20,21,UP,21,UP,1,IDLE
21,22,UP,22,UP,1,IDLE
22,23,UP,23,UP,1,IDLE
23,24,UP,24,UP,1,IDLE
24,25,UP,25,UP,1,IDLE
25,26,UP,26,UP,1,IDLE
26,27,UP,27,UP,1,IDLE
27,28,UP,28,DOWN,1,IDLE
28,29,UP,27,DOWN,1,IDLE
29,30,DOWN,26,DOWN,1,IDLE
30,29,DOWN,25,DOWN,1,IDLE
31,28,DOWN,24,DOWN,1,IDLE
32,27,DOWN,23,DOWN,1,IDLE
33,26,DOWN,22,DOWN,1,IDLE
34,25,DOWN,21,DOWN,1,IDLE
35,24,DOWN,20,DOWN,1,IDLE
36,23,DOWN,19,DOWN,1,IDLE
37,22,DOWN,18,DOWN,1,IDLE
38,21,DOWN,17,DOWN,1,IDLE
39,20,DOWN,16,DOWN,1,IDLE
40,19,DOWN,15,DOWN,1,IDLE
41,18,DOWN,14,DOWN,1,IDLE
42,17,DOWN,13,DOWN,1,IDLE
43,16,DOWN,12,DOWN,1,IDLE
44,15,DOWN,11,DOWN,1,IDLE
45,14,DOWN,10,DOWN,1,IDLE
46,13,DOWN,9,DOWN,1,IDLE
47,12,DOWN,8,DOWN,1,IDLE
48,11,DOWN,7,DOWN,1,IDLE
49,10,DOWN,6,DOWN,1,IDLE
50,9,DOWN,5,DOWN,1,IDLE
51,8,DOWN,4,DOWN,1,IDLE
52,7,DOWN,3,IDLE,1,IDLE
53,6,DOWN,3,IDLE,1,IDLE
54,5,DOWN,3,IDLE,1,IDLE
55,4,DOWN,3,IDLE,1,IDLE
56,3,DOWN,3,IDLE,1,IDLE
57,2,DOWN,3,IDLE,1,IDLE
58,1,IDLE,3,IDLE,1,IDLE
59,1,IDLE,3,IDLE,1,IDLE
60,1,IDLE,3,IDLE,1,IDLE
61,1,IDLE,3,IDLE,1,IDLE
62,1,IDLE,3,IDLE,1,IDLE
63,1,IDLE,3,IDLE,1,IDLE
64,1,IDLE,3,IDLE,1,IDLE
65,1,IDLE,3,IDLE,1,IDLE
66,1,IDLE,3,IDLE,1,IDLE
67,1,IDLE,3,IDLE,1,IDLE
68,1,IDLE,3,IDLE,1,IDLE
69,1,IDLE,3,IDLE,1,IDLE
70,1,IDLE,3,IDLE,1,IDLE
71,1,IDLE,3,IDLE,1,IDLE
72,1,IDLE,3,IDLE,1,IDLE
73,1,IDLE,3,IDLE,1,IDLE
74,1,IDLE,3,IDLE,1,IDLE
75,1,IDLE,3,IDLE,1,IDLE
76,1,IDLE,3,IDLE,1,IDLE
77,1,IDLE,3,IDLE,1,IDLE
78,1,IDLE,3,IDLE,1,IDLE
79,1,IDLE,3,IDLE,1,IDLE
80,1,IDLE,3,IDLE,1,IDLE
81,1,IDLE,3,IDLE,1,IDLE
82,1,IDLE,3,IDLE,1,IDLE
83,1,IDLE,3,IDLE,1,IDLE
84,1,IDLE,3,IDLE,1,IDLE
85,1,IDLE,3,IDLE,1,IDLE
86,1,IDLE,3,IDLE,1,IDLE
87,1,IDLE,3,IDLE,1,IDLE
88,1,IDLE,3,IDLE,1,IDLE
89,1,IDLE,3,IDLE,1,IDLE
90,1,IDLE,3,IDLE,1,IDLE
91,1,IDLE,3,IDLE,1,IDLE
92,1,IDLE,3,IDLE,1,IDLE
93,1,IDLE,3,IDLE,1,IDLE
94,1,IDLE,3,IDLE,1,IDLE
95,1,IDLE,3,IDLE,1,IDLE
96,1,IDLE,3,IDLE,1,IDLE
97,1,IDLE,3,IDLE,1,IDLE
98,1,IDLE,3,IDLE,1,IDLE
99,1,IDLE,3,IDLE,1,IDLE
100,1,IDLE,3,IDLE,1,IDLE
