tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction,E3_floor,E3_direction,E4_floor,E4_direction,E5_floor,E5_direction,E6_floor,E6_direction,E7_floor,E7_direction
0,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
1,2,UP,2,UP,2,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
2,3,UP,3,UP,3,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
3,4,UP,4,UP,4,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
4,5,UP,5,UP,5,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
5,6,UP,6,UP,6,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
6,7,UP,7,UP,7,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
7,8,UP,8,UP,8,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
8,9,UP,9,UP,9,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
9,10,UP,10,UP,10,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
10,11,UP,11,UP,11,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
11,12,UP,12,UP,12,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
12,13,UP,13,UP,13,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
13,14,UP,14,UP,14,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
14,15,UP,15,UP,15,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
15,16,UP,16,UP,16,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
16,17,UP,17,UP,17,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
17,18,UP,18,UP,18,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
18,19,UP,19,UP,19,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
19,20,UP,20,UP,20,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
20,21,UP,21,UP,21,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
21,22,UP,22,UP,22,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
22,23,UP,23,UP,23,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
23,24,UP,24,UP,24,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
24,25,UP,25,UP,25,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
25,26,UP,26,UP,26,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
26,27,UP,27,UP,27,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
27,28,UP,28,UP,28,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
28,29,UP,29,UP,29,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
29,30,UP,30,DOWN,30,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
30,31,UP,29,DOWN,31,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
31,32,UP,28,DOWN,32,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
32,33,UP,27,DOWN,33,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
33,34,UP,26,DOWN,34,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
34,35,UP,25,DOWN,35,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
35,36,UP,24,DOWN,36,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
36,37,UP,23,DOWN,37,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
37,38,UP,22,DOWN,38,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
38,39,UP,21,DOWN,39,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
